title,details,price
Above and Below,Thriller 96 min. | 16 L V Starts August 7th,R 79
PAW Patrol: The Dino Movie,Animated 90 min. | PG Starts August 7th,R 79
Young Washington,Drama 121 min. | 13 P V Starts August 7th,R 79
Batwara 1947,Drama TBC Starts August 14th,R 79
One Night Only,"Romance, Comedy TBC Starts August 14th",R 79
Sunny Dancer,"Comedy, Drama 106 min. | 13 D L PPS S Starts August 14th",R 79
The End of Oak Street,Sci‑fi TBC Starts August 14th,R 79
Mutiny,Action 95 min. | 16 L V Starts August 21st,R 79
Spa Weekend,Comedy 97 min. | 16 D L Starts August 21st,R 79
Andre Rieus 2026 Summer Concert: Viva Maastricht,"Musical, Performance 165 min. | PG Starts August 28th",R 79
Spider Island,"Horror, Comedy 95 min. | 16 D L V Starts August 28th",R 79
Fall 2: Deadpoint,"Adventure, Drama, Thriller TBC Starts September 4th",R 79
Landmyn,Drama 110 min. | 13 D L P Starts September 4th,R 79
Silas en die Ysbeer op Tafelberg,Drama TBC Starts September 18th,R 79
Digger,"Comedy, Drama TBC Starts October 2nd",R 79
Avengers: Doomsday,"Action, Adventure, Sci‑fi TBC Starts December 18th",R 79
Dune: Part Three,"Action, Adventure, Drama, Sci‑fi, Thriller TBC Starts December 18th",R 79
