title,genres,running_time,age_restriction,price
Jananayagan,"Action, Thriller",185,,R 79
Michael,"Biopic, Musical, Drama",128,13 L PPS V,R 79
Obsession,Horror,109,16 D H IAT L S V,R 79
Andre Rieus 2026 Summer Concert: Viva Maastricht,"Musical, Performance",165,PG,R 79
Minions & Monsters,"Adventure, Comedy, Crime, Family, Sci-fi",90,PG PPS V,R 79
Toy Story 5,"Adventure, Comedy, Drama, Family, Fantasy",102,PG,R 79
Moana (Live Action),"Action, Adventure, Comedy, Family, Fantasy, Musical",115,PG,R 79
The Odyssey,"Action, Fantasy",173,16 L V,R 79
Spider-Man: Brand New Day,"Action, Adventure, Fantasy, Sci-fi",145,13 L V,R 79
Sugar Cane Boy,Drama,95,13 P V,R 79
Motor City,"Action, Thriller",103,18 D L N S V,R 79
"Angels, They Are Amongst Us","Drama, Mystery, Romance",129,10–12PG V,R 79
The Invite,Comedy,107,16 L S,R 79
The Get Out,Action,102,16 D L S V,R 79
Black Burns Fast,"Comedy, Drama",100,13 D L P S,R 79
PAW Patrol: The Dino Movie,Animated,90,PG,R 79
Spa Weekend,Comedy,97,16 D L,R 79
